reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1419758_at	Abcb1a	1.2932483866	0.0001342689	0.0183326336
1418209_a_at	Pfn2	2.154674996	0.0001344824	0.0183326336
1436546_at		-1.5152126027	0.0001349428	0.0183326336
1426576_at	Sgms1	0.7855686294	0.0001354172	0.0183326336
1422535_at	Ccne2	-1.5989281247	0.0001356682	0.0183326336
1457102_at	A030001D16Rik	-1.5006045187	0.0001361271	0.0183326336
1439018_at	Fhdc1	1.4018023035	0.0001362216	0.0183326336
1417307_at	Dmd	1.2458714369	0.0001363141	0.0183326336
1437046_x_at	Fam63a	0.7187714593	0.0001368146	0.0183326336
1440849_at	Rasgrf2	1.2101591867	0.0001369509	0.0183326336
1429144_at	Gpcpd1	0.8467744961	0.000137209	0.0183326336
1419145_at	Smtnl1	1.1224946146	0.0001375592	0.0183326336
1416053_at	Lrrn1	1.5732138785	0.0001377175	0.0183326336
1419105_at	Nr1h4	1.3002945511	0.000137899	0.0183326336
1419457_at	Arhgef28	1.0109137641	0.00013829	0.0183326336
1456174_x_at	Ndrg1	0.9327193152	0.0001386095	0.0183326336
1451063_at	Stxbp4	1.3133516001	0.0001390606	0.0183385101
1421605_a_at	Aqp9	1.5154291242	0.0001414029	0.0185930367
1452163_at	Ets1	1.0629269192	0.0001423273	0.0186145098
1439103_at	Cdc73	0.9913496158	0.0001423917	0.0186145098
1435697_a_at	Cytip	0.9042368077	0.0001440316	0.0187744718
1429809_at	Tmtc2	1.2168217809	0.0001446439	0.0187999503
1447939_a_at	Gm17167///Gm21093///Gm21075///Gm3893///Gm10600///LOC100041536///Gm2163///Gm7819///Gm5859	0.878722077	0.0001461902	0.0189463309
1455660_at	Csf2rb	-2.2386772204	0.0001472032	0.0190229552
1450677_at	Chek1	-1.0692264487	0.0001511205	0.0194733862
1421260_a_at	Srm	-0.8365383499	0.0001545014	0.0198345434
1436922_at	Lrr1	-1.3916480279	0.0001548028	0.0198345434
1434657_at	Gls	0.738882139	0.0001564012	0.0199317097
1416067_at	Ifrd1	0.9614244546	0.0001569264	0.0199317097
1436124_at	Pcyt1b	0.9903221747	0.0001572393	0.0199317097
1457743_at		-1.4613514231	0.0001573289	0.0199317097
1426004_a_at	Tgm2	1.3441625728	0.0001589976	0.0200643886
1435991_at	Nr3c2	1.5655416173	0.0001592659	0.0200643886
1452117_a_at	Fyb	0.9760378203	0.0001607178	0.0201909029
1429149_at	Gins3	-0.8611890935	0.0001628218	0.0203984026
1435783_at	Fam169a	2.0518544006	0.000163301	0.0204017685
1420693_at	Myom1	1.5303028383	0.000165529	0.0205684516
1434277_a_at	Ypel2	1.1479597242	0.0001655473	0.0205684516
1440299_at	Mb21d1	-0.8246491696	0.0001667724	0.0206376219
1420699_at	Clec7a	1.0919155126	0.0001670866	0.0206376219
1423643_at	Ddx39	-0.7400478695	0.0001674768	0.0206376219
1429262_at	Rassf6	1.2602816715	0.0001686896	0.0207304336
1419573_a_at	Lgals1	-1.7750314108	0.0001701496	0.0207789192
1427640_a_at	Runx1t1	0.877669695	0.0001703951	0.0207789192
1417900_a_at	Vldlr	2.2791951887	0.0001705748	0.0207789192
1421744_at	Tnfsf4	0.8645237632	0.000170927	0.0207789192
