Gene	Freq_group	Log2FC
Ldb1	1	-1.897100122100122
Hps4	1	-1.0553235653235657
Acy1	2	-1.1854077393045785
Mrpl3	1	-1.376050061050061
Ddb2	1	-1.4875213675213668
BC023754	1	-1.2649267399267397
Psmd8	1	-1.1456837606837613
Pou2f1	1	-1.6144200244200246
Foxp3	2	-0.8767007737682544
Coro1a	2	-1.3113278388278384
Gba2	1	-1.5588583638583642
Sdccag33	1	-1.3631746031746033
Gcn5l2	1	-1.4136324786324783
Phkg2	1	-1.851050061050062
Ccl27	1	-1.835274725274725
BC028440	1	-2.2672405372405375
Mad4	1	-1.9689010989010989
Cad	1	-1.2423076923076921
Dorz1	1	-1.3076129426129421
BC023814	1	-1.8576617826617832
2700038E08Rik	1	-1.6703296703296704
Nin	2	-0.8776177100343712
Dlgap4	1	-1.6277594627594623
Tbl3	1	-1.350763125763126
5730449L18Rik	1	-1.0352564102564104
Rpl3	1	-2.2969352869352875
Phgdh	3	-1.4618090634833942
Nktr	2	-0.9619643183434068
Rga	1	-1.24021978021978
Anapc2	1	-1.0021978021978026
AI448196	1	-1.3397435897435903
Bckdha	1	-1.5023687423687428
1110032O16Rik	1	-0.9468681318681321
Taldo1	1	-1.4434432234432235
Map1lc3b	2	-0.9048533919854088
Zfp276	1	-1.6269474969474966
Polk	1	-2.0405860805860803
Sssca1	1	-2.9223809523809523
Mcm3ap	1	-1.145915750915751
Slc25a28	1	-1.4449511599511604
E4f1	1	-2.524285714285715
AA589584	1	-1.2795421245421232
Syne1	2	-1.5924216916827838
2700094K13Rik	2	-0.979697802197802
Ptprs	2	-0.9936332140932846
9530090G24Rik	1	-1.886892551892552
Phlda2	2	-1.5355845548100735
Brp17	1	-1.8558058608058614
Gtf2ird1	1	-1.3396275946275948
Vamp4	1	-1.227460317460317
A630042L21Rik	1	-1.2027533577533585
Pbxip1	1	-1.7648656898656894
Fbs1	1	-1.2472954822954825
2310022K01Rik	1	-1.2403357753357755
1110029F20Rik	1	-1.2468315018315013
TOB3L	1	-2.3014590964590966
Ifi205	1	-3.0409279609279607
AI451450	1	-1.8314468864468867
Dhx16	1	-1.1553113553113545
BE628134	1	-3.2228083028083025
Ppox	1	-1.6278754578754573
Sart1	1	-1.6366910866910864
AI481105	1	-1.4227960927960932
1810030A06Rik	1	-1.5599023199023203
BC032204	1	-1.5600183150183164
Rab2l	1	-1.6434188034188035
Acaa2	1	-1.1666788766788763
DXImx40e	1	-1.0920940170940177
H2-Ke6	2	-1.0810775335775338
Gfer	1	-1.2824420024420018
Clk3	1	-1.6305433455433456
BE991958	1	-1.1950976800976791
DXImx38e	1	-1.1721306471306463
0610042C05Rik	1	-1.5300915750915751
Unc119	1	-1.2890537240537243
Pdxk	1	-1.3188644688644688
AI414495	1	-1.6515384615384616
Slc25a19	2	-1.3740811965811965
Ifnar2	1	-1.9762087912087916
Fxc1	1	-2.2376617826617817
2410004N05Rik	1	-1.318748473748474
C79663	1	-1.3399755799755801
Dnpep	1	-1.3878815628815633
AI648866	1	-1.6612820512820516
2010012O05Rik	2	-1.8635225885225883
1110019N10Rik	1	-1.8816727716727712
Alad	1	-1.0571794871794868
C80638	1	-1.2598229548229545
0610012A05Rik	1	-1.5335714285714281
1300004C11Rik	1	-1.3831257631257627
6030446I19Rik	1	-1.4459951159951157
D8Ertd594e	1	-1.415604395604396
Abtb1	1	-2.538437118437119
AW209491	1	-1.098821733821734
BC003324	1	-1.0438400488400479
Dscr1l2	1	-0.9385164835164834
Usmg3	1	-2.0735286935286936
Tsc2	1	-1.2787301587301585
Snrp116	1	-1.0525396825396822
Vps39	2	-1.5296886446886448
Cdadc1	1	-3.5493345543345542
BG066634	1	-2.8471001221001226
Cox6a1	1	-2.0469658119658125
Bxdc1	2	-1.6601221001221
Irf3	1	-1.832258852258853
2410141M05Rik	1	-1.390201465201465
Lsm4	1	-1.7966483516483525
2010305K11Rik	1	-1.0541636141636137
1810060D16Rik	1	-2.851623931623932
Spnb2	1	-2.4393772893772896
AF155546	1	-1.7413186813186814
Rnf25	1	-1.9098595848595847
Sirt3	1	-1.1357081807081806
AA536749	2	-1.5834890109890112
Ccnd2	1	-1.362710622710623
Sdhb	2	-1.806278998778999
Rpgrip1	1	-1.3760500610500603
Prkrip1	1	-2.7775030525030533
Chkl	1	-1.4506349206349216
Rrad	2	-0.8345238095238094
BG065748	1	-4.117130647130647
